build_id,model_id,model_name,manufacturer,series,control_board,install_method,route_id,firmware_version,channel,file_name,size_bytes,sha256
s19jpro-xil-nand-v1.3.5,s19jpro,Antminer S19j Pro,Bitmain,x19,XIL,nand,s19jpro-xil-nand,1.3.5,stable,vnish-s19jpro-xil-nand-v1.3.5.tar.gz,16202834,a7648fe0616da7bc338fe53a1071c2321e20a7e0f02f735493c2301b8d121e5b
s19jpro-aml-nand-v1.3.5,s19jpro,Antminer S19j Pro,Bitmain,x19,AML,nand,s19jpro-aml-nand,1.3.5,stable,vnish-s19jpro-aml-nand-v1.3.5.tar.gz,21573858,44adda05a0ec85d8d2fed3536d69ae260489e40141870e37bd354fde3013c613
s19jpro-aml-nand-v1.3.6,s19jpro,Antminer S19j Pro,Bitmain,x19,AML,nand,s19jpro-aml-nand,1.3.6,stable,vnish-s19jpro-aml-nand-v1.3.6.tar.gz,21543992,bf679cbf6ff3c17bef870e93851de1ee7336aafcc44a06ecdba63fbd78bb29e6
s19jpro-bb-nand-v1.3.6,s19jpro,Antminer S19j Pro,Bitmain,x19,BB,nand,s19jpro-bb-nand,1.3.6,stable,vnish-s19jpro-bb-nand-v1.3.6.tar.gz,19255457,8d9c33b10aab913db0efad0922f4005fe97f94e65e584cc189ed3242b670ce3c
s19jpro-cv-nand-v1.3.6,s19jpro,Antminer S19j Pro,Bitmain,x19,CV,nand,s19jpro-cv-nand,1.3.6,stable,vnish-s19jpro-cv-nand-v1.3.6.tar.gz,12492328,731f00dbca57d33a8f200a0d1627225a23a5847259848846b6711e002d0734ed
s19jpro-xil-nand-v1.3.6,s19jpro,Antminer S19j Pro,Bitmain,x19,XIL,nand,s19jpro-xil-nand,1.3.6,stable,vnish-s19jpro-xil-nand-v1.3.6.tar.gz,16194392,3005840ae9cef5c2b3902d1647ed23fd54fe3fc9ae941d2c22508f7b6e7675db
s19jpro-a-aml-nand-v1.3.4,s19jpro-a,Antminer S19j Pro A,Bitmain,x19,AML,nand,s19jpro-a-aml-nand,1.3.4,stable,vnish-s19jpro-a-aml-nand-v1.3.4.tar.gz,21545066,afd3d25d07fb446b8ab079aa1ed0b09229073f6d7a4f2ce174c7958df954ccf4
s19jpro-a-bb-nand-v1.3.4,s19jpro-a,Antminer S19j Pro A,Bitmain,x19,BB,nand,s19jpro-a-bb-nand,1.3.4,stable,vnish-s19jpro-a-bb-nand-v1.3.4.tar.gz,19249379,6c55bb9cbd7946fb54635d7b9f832d9e1d39b62e896987a6a9bc892dbad20d6c
s19jpro-a-cv-nand-v1.3.4,s19jpro-a,Antminer S19j Pro A,Bitmain,x19,CV,nand,s19jpro-a-cv-nand,1.3.4,stable,vnish-s19jpro-a-cv-nand-v1.3.4.tar.gz,12376595,35aa56a9b80895658868a100da25078b6d30d9a4c877b96b1901f867cb3c1878
s19jpro-a-cv-nand-v1.3.5,s19jpro-a,Antminer S19j Pro A,Bitmain,x19,CV,nand,s19jpro-a-cv-nand,1.3.5,stable,vnish-s19jpro-a-cv-nand-v1.3.5.tar.gz,12395429,4ba848b4a59ddc6763a91be97b841e26da0d9359bdfa33cab977c17f978e7797
